time(s)	cellId	rnti	lcid	packetSize
0.4054	2	1	3	1030
0.405406	2	1	3	1030
0.405412	2	1	3	1030
0.405418	2	1	3	1030
0.405424	2	1	3	1030
0.40543	2	1	3	1030
0.405436	2	1	3	1030
0.405442	2	1	3	1030
0.405448	2	1	3	1030
0.405454	2	1	3	1030
0.40546	2	1	3	1030
0.405466	2	1	3	1030
0.405472	2	1	3	1030
0.405478	2	1	3	1030
0.405484	2	1	3	1030
0.40549	2	1	3	1030
0.405496	2	1	3	1030
0.405502	2	1	3	1030
0.405508	2	1	3	1030
0.405514	2	1	3	1030
0.40552	2	1	3	1030
0.405526	2	1	3	1030
0.405532	2	1	3	1030
